ID,Titre,Catégorie,Précisions,,,
3554,Album d'exposition François Morellet réinstallations,216, 12=Ouvrage  broché, 13=Français/Anglais,,
3551,Catalogue d'exposition Interware design transversal,216, 12=Ouvrage  broché, 13=Français,,
3550,Les verres antiques du musée du Louvre - Tome III,135, 13=Français,,,
3549,Catalogue d'exposition le théâtre des passions (1697-1759) Médée Cléopâtre Iphigénie,216, 12=Ouvrage  broché, 13=Français,,
117,Gloires de marbres. Trois siècles de portraits.,179, 6=Editions 5 Continents, 12=Relié, 13=Français,
3545,Catalogue de l'exposition François Morellet réinstallations,216, 12=Ouvrage  broché, 13=Français,,
3544,Catalogue de l'exposition Chagall et l'avant-garde russe,216, 12=Ouvrage  broché, 13=Français, 28=Oui,
3540,Cahiers du musee national d'art moderne n°114 et n°115,140, 12=Ouvrage broché, 13=Français,,
193,New York Aquarelles,120, 6=Le Pacifique, 12=Relié, 13=Français,
194,Métamorphoses : Mémoires et merveilles de la Bibliothèque nationale de France,121, 6=BNF, 12=Broché, 13=Français,
199,Dictionnaire des Indépendants (1884-1914),124, 6=Echelle de Jacob, 12=Relié, 13=Français,
200,Les Catalogues des Salons Tome IX (1868-1870).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
201,Le peintre symboliste Alphonse Osbert (1857-1939),168, 6=CNRS, 12=Broché, 13=Français,
202,Les Salons de Lille de l'Ancien Régime à la Restauration (1773-1820),124, 6=L'Echelle de  Jacob, 12=Broché, 13=Français,
203,Les Peintres Britanniques dans les Salons Parisiens des Origines à 1939 - Un répertoire.,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
206,Les Catalogues des Salons Tome VIII (1864-1867).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
207,Les Catalogues des Salons Tome I (1801-1819),124, 6=L'Echelle  de Jacob, 12=Broché, 13=Français,
208,Les Catalogues des Salons Tome II (1819 supplément-1834),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
209,Les Catalogues des Salons Tome III (1802 suppléments et 1835-1840).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
210,Les Catalogues des Salons Tome IV (1841-1845).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
211,Les Catalogues des Salons Tome V (1846-1850).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
212,Les Catalogues des Salons Tome VI (1852-1857),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
215,Les impressions d'Alechinsky,121, 6=BNF, 12=Broché, 13=Français,
216,Sophie Rude peintre et femme de sculpteur une vie d'artiste au XIXe siècle (Dijon - Bruxelles - Paris),173, 6=Société des amis des Musées de Dijon, 12=Relié, 13=Français,
219,Marc Chagall monstres chimères et figures hybrides ,141, 6=RMN, 12=Broché, 13=Français,
221,Théorie générale de l'histoire de l'art,129, 6=Odile jacob, 12=Broché, 13=Français,
224,Les incunables albigeois,216, 12=Ouvrage  broché, 13=Français,,
227,Dieux et Mortels. Les thèmes homériques dans les collections de l'Ecole Nationale supérieure des Beaux-arts de Paris,125, 6=ENSBA, 12=Broché, 13=Français,
230,Napoléon les lieux du pouvoir,134, 6=Artlys, 12=Broché, 13=Français,
231,Les styles Transition et Louis XVI,135, 6=Editions de l'Amateur, 12=Relié, 13=Français,
232,L'art baroque,160, 6=Citadelles & Mazenod, 12=Luxe, 13=Français,
233,Le Portrait de Lally-Tollendal un chef-d'oeuvre du musée Vizille musée de la Révolution française catalogue,146, 6=Artlys, 12=Broché, 13=Français,
237,Le  Sacre  de  l'empereur  Napoléon.  Histoire  et légende,125, 6=RMN, 12=Broché, 13=Français,
243,Le Symbolisme russe. La Rose bleue,168, 6=Fonds Mercator, 13=Français,,
244,Jacques-Germain Soufflot,134, 6=Editions du Patrimoine, 12=Relié, 13=Français,
245,Enigma. Monsù Desiderio. Un fantastique architectural au XVIIe siècle,134, 6=Editions Serpenoise, 13=Français,,
246,Le Maniérisme. Une avant-garde au XVIe siècle.,129, 6=Gallimard, 12=Poche, 13=Français,
5619,Exhibition catalogue Brassai for the love or Paris,230, 28=Oui,,,
253,Les Catalogues des Salons de la Société Nationale des Beaux-arts Tome VI (1921-1925).,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
3058,Royaumont au XIXe siècle,134, 12=Ouvrage broché, 13=Français,,
256,La France romane au temps des premiers Capétiens (987-1152),128, 6=Hazan, 12=Broché, 13=Français,
4385,Paroles d'artistes de la Renaissance à Sophie Calle,158, 13=Français,,,
